ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
Polytech_Montpellier_-_Mécanique_et_Interactions										1	0.0	0.0	2027*	2027*	2*	
Polytech_Montpellier_-_Microélectronique_et_Automatique										2	0.0	0.0	3892*	3665*	5*	
Polytech_Montpellier_-_Sciences_et_technologies_de_l'eau										3	66.7	0.0	4147*	4088*	7*	
Polytech_Montpellier_Génie_biologique_et_agroalimentaire										0	0.0	0.0	3403*	3293*	5*	
Polytech_Nancy_-_Energie,_Mécanique,_Matériaux,_Environnement										5	40.0	20.0	4358*	3944*	16*	
Polytech_Nancy_-_Ingénierie_de_l'Information_et_des_Systèmes										2	0.0	50.0	3768*	3706*	8*	
Polytech_Nancy_-_Management_opérationnel,_Maintenance,_MaÃ®trise_des_risques										0	0.0	0.0	4887*	4821*	6*	
Polytech_Nantes__-_Ã‰lectronique_et_technologies_numériques										3	33.3	0.0	4413*	4219*	9*	
Polytech_Nantes__-_Ã‰nergie_électrique										0	0.0	0.0	4587*	4575*	5*	
Polytech_Nantes__-_Génie_civil										3	66.7	0.0	3628*	3646*	7*	
Polytech_Nantes__-_Génie_des_Procédés_et_Bioprocédés										0	0.0	0.0	2926*	3018*	2*	
Polytech_Nantes__-_Informatique										0	0.0	0.0	2769*	2627*	9*	
Polytech_Nantes__-_Matériaux										6	33.3	33.3	4284*	3788*	8*	
Polytech_Nantes__-_Thermique,_Ã‰nergétique										3	0.0	66.7	4689*	4316*	7*	
Polytech_Nice-Sophia__-_Bâtiments										4	25.0	0.0	2684*	2631*	12*	
Polytech_Nice-Sophia__-_Ã‰lectronique										3	33.3	33.3	3748*	3434*	10*	
Polytech_Nice-Sophia__-_Génie_biologique										0	0.0	0.0	1659*	1454*	3*	
Polytech_Nice-Sophia__-_Génie_de_l'eau										1	0.0	100.0	4348*	4087*	10*	
Polytech_Nice-Sophia__-_Informatique										1	0.0	0.0	2055*	1967*	14*	
Polytech_Nice-Sophia__-_Mathématiques_appliquées,_Modélisation										3	0.0	33.3	2758*	2706*	15*	
Polytech_Orléans_-_Génie_civil_et_géo-environnement										3	66.7	0.0	4606*	4465*	14*	
