concours	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_médian	integres_rg_moyen	places
concours_polytech_inter_filière	polytech_marseille_microélectronique,télécommunications										0	0.0	0.0	4387	4341	8	
concours_polytech_inter_filière	polytech_montpellier_informatique_et_gestion										0	0.0	0.0	3088	3009	3	
concours_polytech_inter_filière	polytech_montpellier_matériaux										5	0.0	60.0	3675	3488	7	
concours_polytech_inter_filière	polytech_montpellier_mécanique_et_interactions										1	0.0	0.0	2027	2027	2	
concours_polytech_inter_filière	polytech_montpellier_microélectronique_et_automatique										1	0.0	0.0	3892	3665	5	
concours_polytech_inter_filière	polytech_montpellier_sciences_et_technologies_de_l'eau										4	75.0	50.0	4147	4088	7	
concours_polytech_inter_filière	polytech_montpellier_génie_biologique_et_agroalimentaire										5	40.0	40.0	3403	3293	5	
concours_polytech_inter_filière	polytech_nancy_energie,_mécanique,_matériaux,_environnement										5	20.0	40.0	4358	3944	16	
concours_polytech_inter_filière	polytech_nancy_ingénierie_de_l'information_et_des_systèmes										0	0.0	0.0	3768	3706	8	
concours_polytech_inter_filière	polytech_nancy_management_opérationnel,_maintenance,_maã®trise_des_risques										0	0.0	0.0	4887	4821	6	
concours_polytech_inter_filière	polytech_nantes_ã‰lectronique_et_technologies_numériques										1	0.0	0.0	4413	4219	9	
concours_polytech_inter_filière	polytech_nantes_ã‰nergie_électrique										1	0.0	0.0	4587	4575	5	
concours_polytech_inter_filière	polytech_nantes_génie_civil										0	0.0	0.0	3628	3646	7	
concours_polytech_inter_filière	polytech_nantes_génie_des_procédés_et_bioprocédés										3	66.7	33.3	2926	3018	2	
concours_polytech_inter_filière	polytech_nantes_informatique										0	0.0	0.0	2769	2627	9	
concours_polytech_inter_filière	polytech_nantes_matériaux										4	0.0	25.0	4284	3788	8	
concours_polytech_inter_filière	polytech_nantes_thermique,_ã‰nergétique										2	50.0	0.0	4689	4316	7	
concours_polytech_inter_filière	polytech_nice_sophia_bâtiments										4	25.0	50.0	2684	2631	12	
concours_polytech_inter_filière	polytech_nice_sophia_ã‰lectronique										0	0.0	0.0	3748	3434	10	
concours_polytech_inter_filière	polytech_nice_sophia_génie_biologique										4	50.0	25.0	1659	1454	3	
concours_polytech_inter_filière	polytech_nice_sophia_génie_de_l'eau										4	75.0	75.0	4348	4087	10	
concours_polytech_inter_filière	polytech_nice_sophia_informatique										0	0.0	0.0	2055	1967	14	
concours_polytech_inter_filière	polytech_nice_sophia_mathématiques_appliquées,_modélisation										0	0.0	0.0	2758	2706	15	
concours_polytech_inter_filière	polytech_orléans_génie_civil_et_géo_environnement										2	50.0	0.0	4606	4465	14	
concours_polytech_inter_filière	polytech_orléans_génie_industriel										0	0.0	0.0	4861	4820	7	
concours_polytech_inter_filière	polytech_orléans_génie_physique_et_systèmes_embarqués										2	0.0	100.0	4899	4789	6	
concours_polytech_inter_filière	polytech_orléans_innovation_en_conception_et_matériaux										2	50.0	0.0	5189	5168	8	
concours_polytech_inter_filière	polytech_orléans_technologies_pour_l'ã‰nergie,_l'aérospatial_et_la_motorisation										4	25.0	25.0	2709	2544	14	
